"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00640 122912 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00650 122900 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00660 122888 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00669 122876 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00679 122864 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00689 122852 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00698 122840 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00708 122828 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00718 122816 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00728 122804 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00737 122792 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00747 122780 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00757 122768 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00766 122756 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00776 122744 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00786 122732 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00795 122720 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00805 122708 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00815 122696 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00825 122684 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
